AID,cancer,nervous System,immune system,cardiovascular,toxicity,obesity,virus,diabetes,metabolic disorders,bacteria,parasite,epigenetics_genetics,pulmonary,infection,aging,fungal
activity_1554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2732,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
activity_1085,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_1236,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_1274,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_781,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_422,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1224905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588358,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1346378,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
activity_743266,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
activity_624417,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
activity_624418,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
activity_652104,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_602310,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_588579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504847,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
activity_651635,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_743255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588590,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504327,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
activity_504648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602313,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_624172,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
activity_624246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_652106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2676,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
activity_652025,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
activity_720504,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720542,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_651725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_743279,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
activity_651644,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_651550,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_720551,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720553,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651965,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_540263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_488837,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485353,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_540303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485313,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_485297,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_2551,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2546,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_540276,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_540256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_2662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2315,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0
activity_2675,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
activity_2326,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_2549,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_880,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_485360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1458,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1487,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
activity_445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259318,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
activity_602429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624304,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_624352,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_651699,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1347056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259313,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_489030,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_489031,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485273,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
activity_2071,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_1259388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_588692,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720706,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_602393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504621,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
activity_1813,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1814,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1662,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_2221,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
activity_940,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1422,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_817,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
activity_602162,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
activity_588499,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_504490,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_488847,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_2557,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624170,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_624171,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
activity_624414,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_1347076,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_1347075,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_624415,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_1347120,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_504339,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_504891,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
activity_540317,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720707,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
activity_720708,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
activity_720709,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
activity_720711,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
activity_504333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_504332,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_540253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1463,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1461,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1347165,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_1457,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1948,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_602449,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
activity_1224865,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
activity_588473,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_493187,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
activity_504462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
activity_463195,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
activity_1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
activity_1259310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_743269,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_652017,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_2642,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
activity_488922,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2237,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_2247,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_624483,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
activity_1415,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
activity_1423,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
activity_1439,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
activity_1441,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
activity_950,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_951,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624263,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651819,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602438,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_651636,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_493098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2521,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
activity_2520,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
activity_1656,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
activity_1259374,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_1259422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_686940,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_720508,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
activity_720509,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
activity_720543,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_720582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_720700,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_720704,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_651958,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_602396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651602,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_602229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588726,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_588354,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_651719,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_588335,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_504326,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
activity_504357,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
activity_434989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_435030,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_449728,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_463079,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_463141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_463210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485270,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_485272,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2435,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2445,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2606,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_2796,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
activity_2797,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1899,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_1950,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
activity_1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
activity_1527,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_1556,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_1700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1706,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_1789,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_1800,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_1825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1861,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1304,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
