AID,Membrane receptor,Enzyme (other),Nuclear receptor,Hydrolase,Protease,Transcription factor,Kinase,Epigenetic regulator,Ion channel,Transferase,Oxidoreductase,Transporter,NTPase,Phosphatase
activity_1554,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_2732,0,0,0,0,0,1,0,0,0,0,0,0,0,0
activity_1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1236,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1224905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_588358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_1346378,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_743266,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624417,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_652104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602310,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_588579,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activity_504847,0,0,1,0,0,0,0,0,0,0,0,0,0,0
activity_651635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_743255,0,0,0,0,1,0,0,0,0,0,0,0,0,0
activity_588591,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_588590,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activity_504845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_504327,0,0,0,0,0,0,0,1,0,0,0,0,0,0
activity_504648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_602313,0,0,0,1,0,0,0,0,0,0,0,0,0,0
activity_624172,1,0,0,0,0,0,0,0,0,0,0,0,0,0
activity_624246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
